,Komentar
1467,"

NAIKTERUS , BAGUS , RAKYAT MAKIN MISKIN TERIMA KASIH UNTUK PEMIMPIN
"
1468,"

1. Hentikan Proyek-Proyek yang menggunakan APBN.
2. Segera tegakkan Keadilan dan Hukum.
3. Hapuskan Hutang Riba Pemerintah.
4. Ciptakan Lapangan Kerja seluas-luasnya.
5. Reformasi jilid 2
"
1469,"

Semoga para 'Penjahat' itu satu persatu pd dicabut nyawanya mulai dri SEKARANG....!!!
"
1470,"

Kiamat buat Indonesia.. Udah lengswein sijokowi.. Saatnya rakyat bersatu. Lawan kedzhaliman penguasa
"
1471,"

Kalau naik berati semua harus ikut naik.. soalnya oprasinya dari BBM mulai dari petani dll
"
1472,"

Mending BBM jangan naik terlalu tinggi dari pada di alihkan bantuan yang tidak tepat sasaran,,
Jangan lupa pak kalau pegawai pemerintah kalau minta naik gaji kita juga ikut dinaikkan,,
"
1473,"

Apakah utang negara sebagian besar rakyak yang bayar.. Dmna padahal bayak pejabat "" Diluar sana yang berkorupsi untuk kepentingan diri semata mata..
"
1474,"

bukan sebagian besar , tapi semua utang di bayar rakyat,   uang jokowi yang 11000 T itu belum bisa di cairkan,
"
1475,"

Tidak pernah Pejabat jadi korban,,pasti Masyarakat yang menjadi Korban
"
1476,"

Gk ada yg tepat sasaran , malah yg dpt org mampu 
"
1477,"

Trimakasih pak Jokowi attas naik nya BBM saya drever Gojek yang kata nya tarif akan di taikan ternyata bukan ny tarif malah BBM yg naik , saya narik dri jam 8 pagi sMpe sKrang sore jam 5 baru dpet 54 ribu  musibah apalagi ini , Allah melihat tangisan rakyat Indonesia 
"
1478,"

Pilihan capres depan jangan pilih yg dari partai manapun mnding pilih yg gak dari partai... Percuma ujung2nya semua pemerintah dan jajarannya nyusahin rakyat kecil doang...
"
1479,"

Ayo siapa yg dlu nangis , saat SBY naikin 500 perak
"
1480,"

Lg sbk bikin baliho
"
1481,"

Jaman SBY BBM naik 360% dari 1800 ke 6500 kok pada diem , era jokowi cuma naik 30% dari 7300 ke 7650 di 2022
"
1482,"

Saya bangga lihat pemimpin kayak gini mimpin semau nya 
"
1483,"

Ngakak sambil mumet
"
1484,"

Penjajah skrg lebih kejam dr jepang
"
1485,"

berani mengambil keputusan berat adalah ciri pemimpin berani
"
1486,"

yang pada komentar pada punya kendaraan engga ?
"
1487,"

Negara bangkrut, yg ditekan masyarakat kecil, belum bebas dari kemiskinan covid, baru mau bergerak sudah ditekan oleh pemerintah,
"
1488,"

Terkadang susah percaya omongan pemerintah,sudah terlalu bnyk kebohongan"" nya terbongkar
"
1489,"

Keputusan yg sangat berat tapi mmg hrs dilakukan,saya setuju harga bbm disesuaikan,jgn biasakan hidup dari subsidi,ayo semangat bersama kita bisa. Indonesia semakin hebat bermartabat beradab NKRI Pancasila bhineka tunggal ika harga mati 
"
1490,"

Sepakat, pemerintah juga stop hidup dari pajak masyarakat. Cobalah untuk mandiri, banyak BUMN yg bisa menopang pembangunan di Negara ini, tp apalah kenyataan yg qt dapatkan
"
1491,"

Slmt kpd Pemerintah yg tlah menaikan hrg bbm klau perlu sklian harga2 lainya dinsiksn juga
"
1492,"

Klo suatu pemerintahan mulai menaikan pajak tinggi, dan semua dinaikan artinya negara ini gagal urus.
"
1493,"

Smoga pendapatan di thun2 depan dan selanjutnya lebih baik
Sehingga kenaikan BBM Ini tak menghambat kesejahtraan rakyat dan perlu di catat orang2 yg punya mobil bukan brati orang kaya 
"
1494,"

Ya allh smoga kita sllu diberi rezeki yng brlimpah,,semua tranpor tasi naik hrga petani hrus naik juga,,upah buruh hrus naik juga,,biar seimbang
"
1495,"

Semoga korupsi juga ikut naik biar rakyat bisa semakin sejahtera karna pelaku korupsi juga rakyat jelata!!
"
1496,"

Bakalan harga harga sembako dan barang lain pada naik , efek BBM naik pasti logistik naik dan pasti harga barangnya di naikin.
Harga barang naik, penghasilan gak naik efeknya konsumsi turun, efek konsumsi turun ya bikin turun produksi efeknya kurangin karyawan efeknya terus semakin turun daya beli efeknya terus gitu sampai paling menderita para rakyat kelas menengah kebawah
"
1497,"

Tolong kalo mau menaikkan harga bbm di sertakan kinerja polisi di lapangan,karna masih sering macet di persimpangan dan jalan masih banyak yg rusak.
Trimakasih.
"
1498,"

Turunkan gaji dpr soalnya ga ada gunanya dpr untuk rakyat
"
1499,"

sak karepe pakde sing penting siap bekal di akhirate pakde.lebih banyak rakyat cilik dari pada rakyat yg mampu pakde.
"
1500,"

Siapa yang bisa jamin 100% bantuan dr pengalihan subsidi BBM ke rakyat miskin akan tepat sasaran ? Rasanya sulit dan sulit.
Kriteria miskin aja tidak jls dg keadaan dilapangan. Pemberian bantuan ( msl, PKH ) selama ini tidak ada target suksesi. Perbaikan data org miskin tidak sepenuhnya akurat.
Kaum petani kecil dan atau buruh tani akan menerima efek dr kenaikan harga BBM tsbt,, kemungkinan harga pupuk dan obat2an akan naik dan hasil dr pertanian harganya tdk menentu.
Rakyat kecil dimohon utk tetap bersabar dan sabar, yang nantinya tidk atau belum masuk data penerima bantuan jg tetap bersabar.
"
1501,"

Mantap....NKRI harga mati....Pancasila Jaya.
"
1502,"

Teruslah menyiksa rakyat
Semua naik,bntar lg listrik ikutan naik. Kebutuhan pkok naik
Kami warga siantar sumut
Menyesal pilih anda bung??.
"
1503,"

Sabar bang. 
2 tahun lagi sudah berakhir.
"
1504,"

Anda kurang piknik BBM termurah di dunia hanya di Indonesia. Sesekali pakai...mata....jgn... 
"
1505,"

 @bunga kota medan  wkwkwk ciri2 senang di prank
"
1506,"

baru sadaar yah....bahwa .selama ini di bohongin trs
"
1507,"

Sudah 200 x naik BBM selama pak Jokowi, pak. Tolong lah naikkan gaji pegawai ,dan pensiunan untuk bli beras dan pertalit
"
1508,"

Keberatan pak kalo naik BBM seharga 10 ribu.. kasian rakyat kecil yg gak mampu..
"
1509,"

Kok ada rasa penyesalan yaa akhir akhir ini dengan saya memilih pak jokowi 2 kali dua kali pula jadi presiden tetapi BBM naik sudah tak terhitung selama pak jokowi jadi presiden.
Dan saya makin sengsara saja akhir akhir kepemimpinan pak jokowi
"
1510,"

Berapa liter pake minyak ??kalau sehari pakai cuma 3 liter,berarti gak sampai RP 10.000. jangan di jadiin masalah bro.ambil sisi positif nya aja.mungkin emang harus dinaikin,
"
1511,"

KITA TINGGGAL DI WILAYAH TIMUR SANGAT SETUJU DENGAN KEPUTUSAN UNTUK MENAIKAN HARGA BBM...
SEMOGA DENGAN INI NEGARA KITA AKAN MAJU...
JANGAN KERJA NYA HANYA MENGELUH....
DI SAAT ADA BANTUAN AJA BERDIRI DI DEPAN...
"
1512,"

Bahan pangan naik,BBM naik tapi gaji/upah tetap
"
1513,"

 @Samuji Samuji  iya betul saya selaku wirausaha terdampak apalagi taun ini sepi sekali pembeli ngaruh banget imbasnya apa2 mahal sedangkan barang yang kita jual harga bersaing gak bisa di naikin
"
1514,"

Subsidi itu bukannya tuk meringankan rakyat alhasil rakyat smakin resah karna nyatanya terbalik pemerintah malah yg dsubsidi rakyat dg pajak2 naik bbm listrik ilpiji bpjs naik terus...masyallah...coba ada satu aja yg gratis tuk rakyat ...misalnya listrik...wah luar biasa...kapan bisa terjadi...bisa saja...klw tdk banyak dkorupsi mah..
"
1515,"

MENUNGGU ANGGOTA PDI YG MAU DEMO KENAIKAN HARGA BBM YG MEREKA LAKUKAN DI ZAMAN SBY
"
1516,"

Lanjutkan ,KERJA, KERJA,KERJA, untuk menyengsarakan rakyat Ko..
"
1517,"

Caramikirmu dangkal bos,
"
1518,"

 @Li Nangkong  bener bos,, cara mikir anak buah e sambo dan wong kae sg gk dangkal..
"
1519,"

Salam 3 periode...silahkan ORANG PDIP YG JAGO NANGIS JAMANNYA SBY. KETIKA BBM NAIK....SKRANG BAHAGIA...
"
1520,"

Subsidi katanya dialihkan ke yang kurang mampu ya.. supaya lebih tepat sasaran katanya...

Maaf yang merasa kurang mampu bagaimana?,, apakah merasa terbantu dengan semakin naiknya harga-harga? 
"
1521,"

Indonesia sudah jadi negara maju,mantabb!!!
"
1522,"

Kalau memang dengan menaikan  harga BBM adalah keputusan terbaik untuk Indonesia ya saya sebagai rakyat ngak bisa bilang apa apa lagi,tetapi saya yakin keputusan pemerintah adalah keputusan terbaik semoga harga BBM naik nya ngak lama lama pak presiden.
"
1523,"

Saya menilai naik nya masih sebatas wajar,saya yakin orang indonesia kalau 10rb masih mampu kok,terus cari investasi2 dan stabilkan ekonomi pak biar rakyat l tetap bisa berkerja dan jaga stok barang2 dan harga tetap stabil,
Indonesia bisa
"
1524,"

KENAPA YANG SELALU DIKORBANKAN RAKYAT KECIL PAK.. Rekan2 politik bapak dengan gaji tunjangan yg besar kenapa tdk dikortir atau dipotong saja supaya adil.. KAMI TERCEKIK DENGAN KEBIJAKAN INI PAK, HARGA KEBUTUHAN SMUA AKAN NAIK..PIKIRKAN RAKYAT KECIL JUGA PAKK.. :(((
"
1525,"

Oke pak, saya menerima kenyataan, saya harus lebih bekerja keras. 
"
1526,"

Projo nyengir nih
"
1527,"

Saya menilai naik nya masih sebatas wajar,saya yakin orang indonesia kalau 10rb masih mampu kok,terus cari investasi2 dan stabilkan ekonomi pak biar rakyat l tetap bisa berkerja dan jaga stok barang2 dan harga tetap stabil,
Indonesia bisa
"
1528,"

Rezimanjinggbangsatsemoga cepat lenggser dan mampus itu pemimpin munafik pembohong
"
1529,"

MEMANG PAK JOKOWI HEBAT DAN CERDAS....SALAM DAMAI
"
1530,"

Ada yg Kate, di Malaysia BBM murah, usul pak, bagaimana kl kita beli BBM dari Malaysia, biar BBM kita gak naik. Piyeeee.... ???.
"
1531,"

BBM naik semua harga bahan baku pokok auto naik
"
1532,"

BLT aja ga merata...disaat perekonomian blm stabil imbas covid.semua kebutuhan pokok naik.rakyat ditekan terus
"
1533,"

Daripada gini mulu negri.. mending perang aja pak.. natuna noh laut kita hampir 30% mau di caplok.. malaysia ngelunjak, australia sadap pemerintah kita.. mana taring kita.. ?? Dulu kita mau beli jet  su 35 rusia gak jadi karna takut amerika.. sekarang minyak rusia diskon 30% takut lagi sama amerika.. malah rakyat yg di korbankan naik BBM..
"
1534,"

ibu risma tampil untuk bagi BLT sehat pak jokowi kalau bsa tiap taun di naikin supaya saya tiap bulan trima BLT truskan pembangunan mu pak salam 3 pride
"
1535,"

Yakali BLT tiap bulan paling 6 bulan sekali atau 1 THN sekali
"
1536,"

What 3x 
"
1537,"

subsidi nya pake buat IKN, biarin rakyat susah,  yang penting bikin istana yang megah,
"
1538,"

Habis kenaikan bbm ,sebentar lagi kenaikan gaji dn tunjangan pegawai dn pejabat negara ,bagi buruh ,petani,nelayan,pedagang .....yg sdh mandiri tdk di gaji negara  cari duit sendiri  harap bersabar  toh tdk jadi beban duit negara  mlh negara yg jadi beban rakyat  rakyat harus bayar macam pajak menanggung kenaikan harga2  .......
"
1539,"

Kita sudah terbiasa di manja dengan uang subsidi, jadi setiap ada kenaikan harga pasti menjerit...
"
1540,"

Hanya bisa pasrah,kita rakyat tidak punya kekuatan apa 2
"
1541,"

Rakyat yang lagi susah di tambahi kesusahan pak.. jangan mentang2 menjadi pejabat yg tinggi.. tolong lihat lah rakyat mu pak.. Jangan lihat ke atas lihat lah ke bawah
"
1542,"

Akhirnya harga pertalite dan solar naik inflasi dan harga barang ikut naik hadiah indah ulang tahun negara Indonesia ke 77 tahun merdeka harga nya
"
1543,"

Naiknya gak tak tanggung ""
Kangen jaman sby.
"
1544,"

DARI DULUUU...  !!!! 
SAAT HARGA MINYAK DUNIA TURUN GAK PERNAH BBM DITURUNKAN.... 

DAN KALI INI TERPARAH, TERTEGA.... DAN TERGOBLOK   !!! 
SAAT MAYORITAS RAKYAT MENDERITA.... 
SAAT MINYAK DUNIA TURUN HARGA... 

MALAH TEGA2 NYA DINAIKKAN
..  !!! 
APA BUKAN BUAT PERSIAPAN IKN &  CAPRES 2024...  ????
"
1545,"

Naiknya sungguh drastis pakk.. tolong lah pakk. kebijakanya di evaluasi dulu  

dulu jaman pk sby kalau naik aja. 300 rp ke 500rp.
itu pun jaraknya lama..
"
1546,"

Slalu waspada dan hati2...perekonomian skrng sdah mulai goyang...tindakan kriminal pasti banyak dmn2
"
1547,"

Semoga tahun besok 2024 ada calon presiden yang nurunkan harga bbm
"
1548,"

Kami memilih anda untuk menyejahterakan rakyat,bukan untuk mnyengsarakan rakyat
"
1549,"

Semangat peleciden, gelar sang juara lips service layak kau pertahankan....!!! Di harapkan kepada masyarakat miskin yg tidak mampu agar bertahan menghadapi kebijakan dari kolonial kaum cebongers.. berusaha dgn cara halal di prioritaskan...hidup di dunia cuma  sementara.
"
1550,"

seperti ini cara pakde mesejahterakan rakyat nya terus pakde mau 3 priode jangan mimpi pakde
"
1551,"

Rakyat semakin menjerit, plat merah  sama dpr ancang2 kenaikan gaji pastinya, yg suka korupsi tambah buncit perutnya
"
1552,"

Dulu bbm naik 500 perak, demo huru hara dimana mana, ada partai wong cilik distu.
Siap2 aja, semua bahan pokok bakal meroket
"
1553,"

Klo ga becus urus negara cari solusi mensejahterakan rakyat mundur'masih banyak anak bangsa yg bisa memimpin negeri ini yg bs mensejahterakan rakyat, kami ga percaya tukang bohong
"
1554,"

Selamat menikmati hari kemerdekaan yg ke 77, rakyat semakin sejahtera semakin makmur, semakin jaya,  tanah air Indonesia yg subur benar"" dinikmati seluruh Rakyat Indonesia...lanjutkan 3 periode
"
1555,"

Jgn 3 peride 20 perode aj
"
1556,"

Klo bbm naik kenapa gak demo biasanya partai wong cilik demo turun ke jalan percuma pak ada subsidi juga klo harga sembako apa pun itu semua nya naik gk cukup dengan subsidi
"
1557,"

APBN kita bakar tiap hari.. sampai kapan ia akan menjadi rutinitas sehari-hari kita.. semoga langkah ini baik bagi rakyat Indonesia
"
1558,"

Subsidi BBM itu untuk yg kurang mampu???  BERARTI YG GA MAMPU GA DAPAT DONG???
"
1559,"

Koropsi mraja lela ,Kebijakan untuk yg membuat ,COBA itu Yg koropsi Mbok ya diaudit Diminta duitnya klau bisa dihukum mati biar ndak merasa bangga bisa koropsi Karna Hukum bisa dibeli ,Kapan mau bisa kapok Orang koroptor klau dibiarkan ,Yg nyuri kakau hukumnya lebih dari koroptor ,
"
1560,"

Kalau dana bansos masih di korupsi tegakan hukum karna akan bisa di jerat hukuman mati, gua tantang pemerintah bisa kasih contoh ke rakyat kalau ada yg korupsi dana bansos bisa di hukum mati baik pelakunya tingkat nasional, maupun daerah. Semua lagi serba susah jangan main2 dengan hak rakyat yg sudah susah ini. Tegakan sila ke 5 dari Pancasila bukan hanya sekedar di baca saja resapi dan terapkan itu wahai para pejabat YTH. jangan kau korupsi lagi uang bansos itu mana kau pejabat sudah di kasih gaji sama negara masih juga kau makan uang bantuan rakyat itu. Sangat layak di hukum mati hal yg seperti itu.  Kawal bansos rakyat Indonesia 🇮🇩
"
1561,"

Lanjut 10 periode
"
1562,"

Akhirnya naik juga bbm, kita semua kena prank, nggak naik tgl 1 cuma ditunda 2 hari akhirnya hari ini naik juga..Salut Pranknya pemerintah.. yg demo gigit jari mau demo nggak ada modal wkwkwkwk..
"
1563,"

Usul pak presiden kalau bisa Gaji anggota DPR/MPR Rp 3000.000 saja biar  mereka merasakan apa yg rakyat rasakan
"
1564,"

Jelaskan kepada rakyat secara transparan maksud dan tujuannya, tiba2 naik tinggi maksud nya apa!!!
"
1565,"

Demi IKN, kasian itu para pejabat sama pengusaha yg sudah beli tanah disana.
"
1566,"

umr harus di naikin juga,terutama jateng
"
1567,"

Saya pribadi tidak akan mengeluhkan kenaikan harga BBM BERSUBDI
Saran MOBIL PRIBADI DENGAN TAHUN PEMBUATAN 2005 KE ATAS DI LARANG MENGGUNAKAN BBM BERSUBSIDI
sekian terima kasih!!!
"
1568,"

Bubarkan DPR, Bubarkan MPR-RI. Negeri konoha yang katanya sumber daya alam nya melimpah ternyata HOAX.
"
1569,"

PADA JAMAN SBY KLO BBM MAU DI NAIKIN YG PALING REBET DEMO SANA SINI DARI PARTAI CONGGOR PUTIH EH SKRG DIA DIKIT DIKIT DI NAIKIN TERUS BBM, KUSUT
"
1570,"

Dulu jaman nya SBY kalo ga salah pas kenaikan BBM ada yang nangis dan koar2 ini itu , ko sekarang ada kenaikan BBM ga ada yang nangis lagi ya ...
"
1571,"

Singkat Wae Broo BBM Naik yg senang trus terang yg mendapat bantuan dll. Bagi Petani Moncrot Pupuk Sulit dan mahal,  tenaga Naik Hasil Produksi tidak dihargai...
"
1572,"

ini bukan soal siapa Presiden nya...siapapun presiden nya pasti akan mengurangi subsidi yang terlalu besar dan yang menikmati malah orang orang kaya yang banyak mobil nya
"
1573,"

bantuan bbm dn bansos apapun tdk akan merata yg dapt enak,,yg tdk dapat hanya diam berjuang utk bisa hidup bisa makan dr keringat sendiri,,,yg nenek kakek tua msih byk yg tdk dpt,,,gimana sih aturan nya
"
1574,"

Gak ada sedikitpun niat pemerintah untuk mensejahterakan rakyatnya
"
1575,"

Situ mah enak gaji utuh, ngsisi BBM gratis, semua dpt fasilitas negara lah kita yang nanggung 
"
1576,"

Kasian dengan masyarakat yang tidak mampu,qtau masyarakat pedalaman plosok,,TURUNKAN HARGA BBM..!!!!!!!!!!!!!
"
1577,"

BLT ga ada gunanya , yakin tepat sasaran ? Yg nerima rumah rumah berdinding beton  AllahuAkbar  Jiwa Misquin ku memberontak. Rakyat  menengah kebawah merasa terzalimi 
"
1578,"

Katanya harus hati2 naikinya, rencana pertalite 10rb ko tetep 10rb naiknya , ga hati2 itu namanya sama aja, blt ga pernah tepat sasaran, di daftar dong semua ojol harus dapat blt, karna yg dirugikan itu para ojol yg pakai bahan bakar seharian full , tarif ojol juga belum naik malah turun terus, apakah ojol harus narik 24jam untuk bisa mencukupi kebutuhan keluarga? Kalian ingin ojol mati muda ya?
"
1579,"

Resim satu ini sebagai juara menaikan harga BBM kita sebagai rakyat bukan menjadi beban pemerintah tiap hari kita cari makan sendiri justru resim membebani kita sbagai rakyat
"
1580,"

Gak mslh mau naik atau gak...
Kerja ttp smngattttt
"
1581,"

Beta orang berpendapatan pas pasan tapi selama ini tetap memakai bbm non subsidi pertamax walaupun berat tapi sekarang naik lagi tambah berat lagi karena bbm naik otomatis yg lain2 naik pusiiiiiiiiig
"
1582,"

Datar2 aja ekspresi nya heran gk ada empatinya pisan justru malah pengen rakyat memaklumi aneh sekali,walau mati-matian itu seharusnya sudah tugas kalian yang kami para rakyat gaji kalo gk becus lebih baik turun saja
"
1583,"

Ibu MEGAWATI pasti MENANGIS karena BBM naik 
"
1584,"

Akhirnya terjadi juga pemerasan pada wong cilik yg terstruktur oleh penguasa .
"
1585,"

banyak kali pak naik nya,apa gak bisa naik nya sedikit saja 500 rupiah gitu biar kami rakyat tidak terkejut!!!
"
1586,"

Hati2 ini permainan politik kepala banteng,nanti ketika saatnya waktu pilpres dia yang mencalonkan paslon buat menurunkan hrga bbm ,,biar seolah2 bantenglah yang paling berjasa dalam penurunan bbm tersebut.pakde orang baik dari kampung tapi kinerjanya yg selalu di setir oleh  ordal banteng,,harusnya pakde bisa merasakan karna pakde yang bener2 pernah jadi rakyat kecil itu seperti apa
"
1587,"

Tetep sambat,
Jangan semangat,
Deritamu adalah bahagiaku.......

"
1588,"

Pemilihan DPR jangan ada lagi yang pilih.suara mereka dari siapa kalau bukan dari kita masyarakat kerja mereka apa bukan nya memihak rakyat malah ikut2an..stop pilih partai banteng 2024 no banteng.
"
1589,"

Drastis Air ledeng, BBM naik. Naik tu boleh asal jgn byk. Ujung2ny dkorupsi oknum pejabat tinggi, gaji buruh ga naik, rakyat miskin makan sesuap nasi
"
1590,"

Kemiskinan rayat menengah kebawah bertambah menjerit, naik bbm harga bahan pokok otomatis naik  sebagian org miskin byk tdk dafat, mohon data ulang.
"
1591,"

Tanggung naiknya pak sekalian Pertamak 50 RB,pertalit 40 RB,solar 30 RB subsidi cabut semua APBN biar realitis yg miskin biar mati sekalian dasar rezim koplak
"
1592,"

Selamat perutmu semakin buncit dan isi rekeningmu semakin banyak wahai petinggi negara

Dan selamat untuk rakyat, bersiaplah untuk menghadapi kenaikan bahan dan barang terutama bahan pokok 
"
1593,"

Inilah output dari hoax subsidi 500 T, hoax ini diulang lagi hingga melahirkan kebohongan dan penderitaan rakyat.
"
1594,"

Semoga kenaikan BBM menjadi ladang korup untuk modal pemilu yg akan datang..!!!!
"
1595,"

Menyengsarakan rakyat adalah jalan ninjaku
"
1596,"

Dulu klo ada kenaikan BBM, ada yg nangis2 dan Demo biar gak naik harga BBM, sekarang gak ada ya? kenapa ya? sampe presiden di minta turun.
"
1597,"

Sebentar lagi harga² pada naik...dan sebentar lagi rapat penyesuaian tunjangan buat pejabat......rakyat kecil cukup dengar saja....karena kesejah teraan rakyat sudah di wakil kan .sama wakil wakil rakyat
"
1598,"

Semoga pejabatnya tambah kaya boss, biarkan rakyat jadi tumbal
"
1599,"

belum tepat saat nya naikan bbm makin sulit ekonomi rakyat kecil pak
"
1600,"

Alhamdulillah...setidaknya tidak diumumkan tengah malam saat rakyat menikmati mimpinya
"
1601,"

Naikin aja pak. Toh yang menikmati susidi juga orang2 bermobil yang notabene mampu. Naikin aja. Gw mah cm naik sepeda motor juga kagak kerasa dampaknya. Biar yg bermobil itu mikir pade, mereka yg selama ini justru menikmati
"
1602,"

Jadi kangen sama orang² pas jaman SBY, naikin BBM langsung didemo.
Sekarang kemana ya orang²nya....??
Masih adakah yg mengaku partainya wong cilik..?
"
1603,"

Bikin susah rakyat aja, rakyat udh susah malah di bikin susah.. Yg enak mah para pejabat yg gajinya gede dan kalau ngisi BBM pun gratis..
"
1604,"

Saya bingung makin bertambah aset negara makin gak bisa di subsidikan untuk masyarakat
"
1605,"

Okelah BBM jadi naik, tapi suruh SPBU ganti selang pompa dengan yang transparan dong pak 
"
1606,"

Selamat datang di PEMERINTAH konoha
"
1607,"

Bahwasannya bantuan untuk rakyat kecil TIDAK TERSALURKAN DENGAN BAIK. masih ada koruptor"" biadab.
"
1608,"

Hukum mati para koruptor yang menjadi kan rancu perekonomian Indonesia sehingga rakyat yg jadi korban.
"
1609,"

mantab pak semoga para pejabat anggota dpr ttp tersenyum
"
1610,"

Menaikkan harga BBM saat TDK tepat, Krn kondisi ekonomi sy memperhatikan pasca pandemi, seharus reformasi biro krasi yg TDK efisien yg menyebabkan kenaikan belanja negara yg TDK efektif itulah yg perlu ditertibkan.
"
1611,"

Imbas BBM naek pasti sembako naek jadi yg punya warung kecil yg modal nya dikit jadi sulit karna pasti nambah modal nya jadi tolong dong perhatikan yg pedagang kecil.
"
1612,"

Alhamdulillah aj dahhh.... Klau ga bersyukur mo gmna lgi harga aslinya 17100rp.....
Bersyukur pak yg penting jgan d atas 10rb
"
1613,"

Gpp hrga bbm naek juga ,,yang penting seimbang dengan  ekonomi sama upah kerja.
"
1614,"

Ngak butuh BLT.
Yang penting kesehatan,pendidikan&pembangunan sesuai kebutuhkan.
"
1615,"

Pemilu akan datang kita pilih puan aja biar tambah sejahtera rakyatnya.
"
1616,"

Sekali naik bikin rkyat miskin seperti dikuliti,,, bgtulah rasa@ bgi mreka yg pndptan@ dibwah 50/hari.
Negara bgtu kejam trhdp rkyat.
Pjbat beda krna mereka sampai matipun dpt asuransi, tunjangan , insentif dan sbgai@ yg dlm tiap bulan bsa mnghsilkan rtusan juta rupiah. Ingat bhwa pndptan rkyat kcil   dibawah 2jta rupiah / bulan. Semena mena
"
1617,"

harga BBM diluar negri sama di Indonesia mau disamakan. gaji diliat negri aja lebih gedee paaak... di Indonesia ajaa berapa gajinya.. itu lah presiden pilihan rakyat ... 
"
1618,"

Cari pejabat pemerintah yg bisa nurunin bbm
"
1619,"

Knp hrs rakyat kecil yg menanggung Beban ini Pak presiden.. hrsnya gaji dan tunjungam presiden, DPR dan para pejabat bumn yg diturunkan agar Uang negara ini cukup
"
1620,"

Mana yang dulu 15 thn yg lalu tolak kenaikan BBM , yg nangis bombay tidak memihak wong cilik.
Sekarang diem bae.
"
1621,"

Sy makin bingung sama rezim ini lempar isu dpr mau dapet pensiun di saat yg bersamaan BBM di naikkan.. Memang negara ini ekonominya di bikin meroket ama bapak ini 
"
1622,"

Info loker bapak, ibu terhormat 
"
1623,"

Kalo naik harga BBM.jgn ada lagi bantuan2,karna GK tepat sasaran.uda duit yg akan dibagi untuk bantuan,mendingan untuk keperluan yg lain.untuk keperluan negara
"
1624,"

Alasan yg sama lama2 pertalite dihapus sperti premium dulu
"
1625,"

Ya BEGINILAH NEGRIKU INDONESIA
"
1626,"

WAHAI PARA KORUPTOR..sgera berhentilah MENGURAS KAS NEGARA..Alhamdullilah negara tercinta ini blom bangkrut kaya venezuela dan Bangladesh sudah balik zaman barter dan uang ngga ada nilai nya spt selembar kertas lusuh yg beserakn di jalan.. tekanan ekonomi resesi global yg merata di seluruh dunia klo rakyat lapar yg pertama dicari pasti anda2 Koruptor dan Anak keturunan Anda..
"
1627,"

Mudah2an jadi 3 periode
"
1628,"

Biar berapa juga naiknya, asal bisa membeli nya.
"
1629,"

Gak usah ada BLT pak... Untuk apa ? BBM aja gak usah di naikan . Bercerminlah dari kebijakan SBY dulu
"
1630,"

Dulu yg nangis"" saat bbm naik era sby cuma rp500 mana ya? Kok malah koloninya sekarang malah menaikan harga BBM, ohh iya makanya jangan ambisius pak, buat IKN segala, nohh proyek mangkrak anda kereta cepat aja belum selesai, sekarang buat ambisi bapak untuk IKN itu semua"" dinaikan, sekali"" dong UMR naik 50% jangan kebutuhan kita aja yg naik
"
1631,"

Pak presiden jangan lupa gaji PNS juga di naikan terimakasih 
"
1632,"

Pak naiknya ko lgsg tinggi bgt ya, rakyatmu sudah kaya kaya ya, makin miskin pak, kebijakan menaikan bbm trs, utang lg ja pak biar utangnya numpuk rakyat ga usah dipikirin, gaji asn, dpr, pemrintah naikin trs, tus pegawai swasta ga usah diperhatikan, biar yg makmur aparat
"
1633,"

alhamdulilah  bbm naik  lagi  semoga jadi awal  yg barokah  maha benar engkau ya alloh dan semua janjimu
Memang benar.
terjecuali janji nya  umat yg suka berdustu..dan berbohong.untuk kepentingan nya..
"
1634,"

Akhirnya kado kemedekaan di umumkan ... Bbm naik mari kita nikmati sama sama ...
"
1635,"

Gimana masalh ekonomi, kena imbas nya gak pak jokowi  
"
1636,"

Salam 3 periode
"
1637,"

Keputusan pa Jokowi tida,akan salah cuma pernah salah satu kali masalah ekspor minyak sawit itu aja yg Laen blm pernah
"
1638,"

APBN ABIS DIGUNAKAN UNTUK TUNJANGAN APARATURNEGARA,PENSIUN DLL,,, RAKYAT KECIL HANYA DIJADIKAN TUMBAL
"
1639,"

PERCUMA NGOMONG INI ITU,, KITA SEBAGAI RAKYAT KECIL HANYA DI PANDANG SEBELAH MATA.
"
1640,"

Naikin BBM malah MELAS ke RAKYAT......  giliran NAIKIN UMR malah Nggak tahu tuh pejabat NGUMPET dimana???
"
1641,"

di rezim dia semua yang mau demo gak bsa demo bahkan di tutup mulut dengan cara bansos dengan dalih membantu masyarakat pdhal bisa dilihat setiap bansos gak pernah beres auditnya... 
negeri para kapitalis yang bisa menyetir kbijakan... paling nanti dibilang, kita cuma naikin BBM gak naikin Cabe dan bahan pokok lainnya :D ahahahha... NEGERI PENUH HUTANG...
"
1642,"

Pak naik ya naik tp jangan 2500 pak. Naik ya 900 aja.  Jadi tidak terlalu menyushkan para drever onlen gmn nasib para driver onlen pak. Tolong di perhatiin juga pak.
"
1643,"

INDONESIA menyusul SRILANKA
"
1644,"

yang kaya semakin makmuryang miskin semakin melarat
"
